web_scraper_order,web_scraper_start_url,detail_url,title,location,difficulty_level,duration,distance,physical_demand,ascent,descent,target_group,season,recommended_period
"1766396370-1","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=16","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/32/Husky-Traum","Husky-Traum","Muotathal","","","4m","hoch","","","Zyklus 1 (Grundschule / 6 - 9 Jahre alt), Zyklus 2 (Mittelstufe / 10 - 12 Jahre alt), Zyklus 3 (Oberstufe / 13 - 16 Jahre alt)","ganzjährig",""
"1766396372-2","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=16","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1426/Aufregende-Ausblicke-auf-dem-Hochalp-Trail","Aufregende Ausblicke auf dem Hochalp Trail","Urnäsch, Anker
                                                                                                    • AR","","6h 45min","11.4km","hoch","720m","720m","","Winter","Dezember - März"
"1766396375-3","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=16","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1075/Den-ganzen-Tag-im-Schnee","Den ganzen Tag im Schnee","Atzmännig SSA
                                                                    — Atzmännig, Schutt
                                                                                                    • SG","","1h 40min","4.2km","mittel","140m","510m","für Familien","Winter","Dezember - März"
"1766396377-4","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=16","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1090/Panorama-Trail-in-Obwalden","Panorama Trail in Obwalden","Langis
                                                                                                    • OW","","4h 30min","12.3km","hoch","565m","565m","","Winter","Dezember - März"
"1766396379-5","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=16","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1207/Schneeschuhwanderung-auf-den-Chasseron","Schneeschuhwanderung auf den Chasseron","Les Rasses, village
                                                                                                    • VD","","4h 20min","10km","hoch","450m","450m","","Winter","Dezember - März"
"1766396382-6","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=16","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/2037/Wanderung-auf-die-Gisliflue-im-Jurapark-Aargau","Wanderung auf die Gisliflue im Jurapark Aargau","Veltheim AG, Bären
                                                                    — Thalheim AG, Unterdorf
                                                                                                    • AG","T1","3h 20min","11.7km","mittel","595m","525m","für Familien","ganzjährig","April - Oktober"
"1766396384-7","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=16","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/2038/Wanderung-im-Reiat-im-Naturpark-Schaffhausen","Wanderung im Reiat im Naturpark Schaffhausen","Bibern SH, Dorf
                                                                    — Schaffhausen, Schweizersbild
                                                                                                    • SH","T1","3h 30min","13.1km","mittel","380m","380m","für Familien","ganzjährig","April - Oktober"
"1766396387-8","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=16","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/2056/Umwelt-Arena-Spreitenbach-der-Nachhaltigkeit-auf-der-Spur","Umwelt Arena Spreitenbach – der Nachhaltigkeit auf der Spur","Spreitenbach
                                                                                                    • AG","","0min","62m","tief","0m","","Zyklus 1 (Grundschule / 6 - 9 Jahre alt), Zyklus 2 (Mittelstufe / 10 - 12 Jahre alt), Zyklus 3 (Oberstufe / 13 - 16 Jahre alt)","ganzjährig",""
"1766396389-9","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=16","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/2068/Winterfreuden-auf-dem-Dahu-Pfad","Winterfreuden auf dem Dahu-Pfad","Anzère, télécabine","","3h 55min","9.2km","hoch","515m","515m","","Winter","Dezember - Februar"
"1766396391-10","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=16","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/2228/Schneeschuhwandern-im-freiburgischen-Wintersportparadies","Schneeschuhwandern im freiburgischen Wintersportparadies","Les Paccots, Les Rosalys
                                                                                                    • FR","Rot","3h 30min","7.2km","hoch","390m","390m","","Winter","Dezember - Februar"
"1766396393-11","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=16","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/2253/Panoramawanderung-uber-verschneite-Hochmoorflachen","Panoramawanderung über verschneite Hochmoorflächen","Zweisimmen, Sparenmoos
                                                                    — Zweisimmen, Site Alp
                                                                                                    • BE","","1h 45min","4.8km","tief","160m","275m","für Familien","Winter",""
"1766396396-12","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=16","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/2254/Auf-historischem-Weg-ins-Muotatal","Auf historischem Weg ins Muotatal","Hoch-Ybrig, Talst. Laucheren
                                                                    — Oberberg St. Karl
                                                                                                    • SZ","","3h 5min","7.7km","hoch","460m","370m","","Winter","Dezember - Februar"
"1766396398-13","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/?criteria%5Bfulltext%5D=&criteria%5Bseasons%5D%5B0%5D=69&page=16","https://www.schweizer-wanderwege.ch/de/wandervorschlaege/2255/Auf-Walserpfaden-durch-Obersaxen","Auf Walserpfaden durch Obersaxen","Obersaxen, Meierhof Post
                                                                    — Obersaxen, Friggahüs
                                                                                                    • GR","","2h 35min","7.1km","mittel","335m","300m","","Winter","Dezember - Februar"
