url,title,location,canton,difficulty_level,duration_min,distance_km,ascent_m,descent_m,physical_demand,latitude,longitude
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/2037/Wanderung-auf-die-Gisliflue-im-Jurapark-Aargau,Wanderung auf die Gisliflue im Jurapark Aargau,"Veltheim AG, Bären — Thalheim AG, Unterdorf",AG,T1,200,11.7,595,525,mittel,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/2038/Wanderung-im-Reiat-im-Naturpark-Schaffhausen,Wanderung im Reiat im Naturpark Schaffhausen,"Bibern SH, Dorf — Schaffhausen, Schweizersbild",SH,T1,210,13.1,380,380,mittel,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/2256/Gemutliche-Wanderung-durch-den-Regionalpark-Aargau,Gemütliche Wanderung durch den Regionalpark Aargau,"Zeihen, Stauftel — Schinznach Dorf, Oberdorf",AG,T1,165,10.0,345,420,mittel,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/2257/Vom-Solothurner-Limpachtal-an-die-Aare,Vom Solothurner Limpachtal an die Aare,"Messen, Dorfplatz — Büren an der Aare",,T1,215,13.9,275,330,mittel,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/2258/Kirchen-und-Kapellen-im-Val-Capriasca,Kirchen und Kapellen im Val Capriasca,Lamone-Cadempino,TI,T2,225,12.8,525,525,mittel,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/2730/Entlang-der-Saane-und-umgeben-von-den-Freiburger-Voralpen,Entlang der Saane und umgeben von den Freiburger Voralpen,Gruyères — Bulle,FR,T1,165,10.2,240,220,mittel,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/2731/Stille-erleben-auf-dem-Jura-Hohenweg-in-der-Ajoie,Stille erleben auf dem Jura-Höhenweg in der Ajoie,Miécourt — Porrentruy,JU,T1,190,12.5,215,270,mittel,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/2732/Gemutliche-Wanderung-am-Rande-des-Emmentals,Gemütliche Wanderung am Rande des Emmentals,"Huttwil — Dürrenroth, Dorf",BE,T1,105,5.9,255,195,tief,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/2736/Vorbei-an-Reben-und-Burgen-durch-die-Bundner-Herrschaft,Vorbei an Reben und Burgen durch die Bündner Herrschaft,Malans GR — Bad Ragaz,GR,T1,190,12.2,275,310,mittel,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/2737/Auf-einsamen-Pfaden-im-grunen-Valle-di-Vergeletto,Auf einsamen Pfaden im grünen Valle di Vergeletto,Gresso — Russo,TI,T3,175,7.9,475,665,mittel,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/125/Im-Herzen-des-Thurgaus,Im Herzen des Thurgaus,Weinfelden — Sulgen,TG,T1,230,15.6,160,140,mittel,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1274/Uber-den-Frienisberger-Chutzen-nach-Aarberg,Über den Frienisberger Chutzen nach Aarberg,Frieswil — Aarberg,BE,T1,180,11.8,205,430,mittel,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1272/Der-Kleinen-Emme-entlang-durchs-Entlebuch,Der Kleinen Emme entlang durchs Entlebuch,"Wolhusen, Neuemsern-Rossei — Hasle LU",LU,T1,160,9.9,295,185,mittel,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1288/Von-Mendrisio-durch-die-Gole-della-Breggia,Von Mendrisio durch die Gole della Breggia,"Mendrisio — Vacallo, piazza",TI,T1,225,10.9,575,545,mittel,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1283/Auf-dem-Aare-Uferweg-nach-Bern,Auf dem Aare-Uferweg nach Bern,"Münsingen — Bern, Tierpark",BE,T1,195,13.6,60,65,mittel,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1282/Durch-das-Surbtal,Durch das Surbtal,"Tegerfelden, Hochbrücke — Lengnau AG",AG,T1,175,11.2,265,220,mittel,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1410/Uber-den-Heuberg-ins-Fricktal,Über den Heuberg ins Fricktal,Laufenburg — Oeschgen,AG,T1,190,10.7,450,430,mittel,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/106/Vom-Wynental-ins-Seetal,Vom Wynental ins Seetal,Teufenthal AG — Lenzburg,AG,T1,240,14.4,400,445,mittel,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1252/Grenzwandern-vor-den-Toren-von-Basel,Grenzwandern vor den Toren von Basel,Rodersdorf — Schönenbuch,SO,T1,190,12.5,220,260,mittel,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1355/Unterwegs-im-Schwarzbubenland,Unterwegs im Schwarzbubenland,Zullwil — Breitenbach,SO,T1,205,11.6,465,660,mittel,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1381/Von-Attiswil-nach-Wangen-an-der-Aare,Von Attiswil nach Wangen an der Aare,Attiswil — Wangen a.d.A.,BE,T1,190,12.1,275,315,mittel,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1387/Gipfeltour-auf-den-Monte-Caslano,Gipfeltour auf den Monte Caslano,Caslano stazione — Magliaso,TI,T2,160,9.4,355,355,mittel,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1384/Von-Liestal-nach-Rheinfelden,Von Liestal nach Rheinfelden,Liestal — Rheinfelden,BL,T1,280,17.0,565,610,hoch,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1375/Die-Alpen-zum-Greifen-nah-LU,Die Alpen zum Greifen nah LU,Hildisrieden — Rothenburg Dorf,LU,T1,145,9.9,70,270,tief,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1541/Kiwis-und-Weinreben-am-Genfersee,Kiwis und Weinreben am Genfersee,Allaman — Rolle,VD,T1,105,7.1,95,110,tief,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1546/Sonne-tanken-am-Lago-Maggiore,Sonne tanken am Lago Maggiore,"Porto Ronco, Crodolo Verbano — Ascona, Centro",TI,T1,180,7.5,440,435,mittel,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1560/Durch-das-stille-Schenkenbergtal,Durch das stille Schenkenbergtal,"Schinznach Dorf, Oberdorf — Biberstein, Dorf",AG,T1,225,11.8,600,595,mittel,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1566/Winter-im-Valle-di-Muggio,Winter im Valle di Muggio,"Bruzella, Paese — Vacallo, Piazza",TI,T1,170,9.0,380,615,mittel,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1565/Dem-Gabelbach-entlang-nach-Bern,Dem Gäbelbach entlang nach Bern,"Rosshäusern — Eymatt b. Bern, Camping",BE,T1,175,11.5,255,335,mittel,46.9343355,7.2968204
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1571/Bock-auf-den-Gabris-zu-wandern,"Bock, auf den Gäbris zu wandern?",Gais,AR,T1,185,10.2,475,475,mittel,47.3625034,9.4542517
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1597/Hohenwandern-im-Oberaargau,Höhenwandern im Oberaargau,Dürrenroth,BE,T1,230,13.8,510,510,mittel,47.0902206,7.7895896
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1604/Tunnelgang-im-Scherligrabe,Tunnelgang im Scherligrabe,Niederscherli — Thörishaus Dorf,BE,T1,100,6.7,100,180,tief,46.8850228,7.3893334
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1612/Gut-Kirschen-essen-im-Schwarzbubenland,Gut Kirschen essen im Schwarzbubenland,"Nuglar, Dorfplatz",BL,T1,75,4.2,180,180,tief,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1621/Mit-dem-Bielersee-im-Rucken,Mit dem Bielersee im Rücken,Gerolfingen — Studen,BE,T1,180,11.7,260,325,mittel,47.075009,7.2013134
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1628/Durchs-Leimental-nach-Basel,Durchs Leimental nach Basel,"Hofstetten SO, Unterdorf — Basel SBB",SO,T1,235,14.6,285,460,mittel,,
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1626/Am-Ufer-des-Neuenburgersees,Am Ufer des Neuenburgersees,"Chevroux, port — Portalban, village",VD,T1,105,7.0,65,65,tief,46.8998202,6.8969022
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1625/Ein-Tag-an-der-Alten-Aare,Ein Tag an der Alten Aare,Dotzigen — Aarberg,BE,T1,190,13.1,105,90,mittel,47.1197383,7.341198
https://www.schweizer-wanderwege.ch/de/wandervorschlaege/1624/Dem-Wasser-entlang-durch-das-Seeland,Dem Wasser entlang durch das Seeland,Aarberg — Biel / Bienne,BE,T1,330,22.1,165,185,hoch,47.0443346,7.2753004
